org_pac_id,org_name,n_mddo,state,is_kaiser,ratio_fnb,ratio_non
2567379563,CENTRAL MAINE MEDICAL CENTER,105,ME,false,1.0932,0.7512
2567455082,LIFESPAN PHYSICIAN GROUP INC,436,RI,false,0.8234,0.9243
2567623739,ONE MEDICAL GROUP INC,125,CA,false,1.0136,0.9549
2567872070,LEXINGTON HEALTH INC,403,SC,false,0.9853,0.9714
2668384371,THE MEDICAL COLLEGE OF WISCONSIN INC,742,WI,false,1.0808,1.084
2769380252,MVHS INC,111,NY,false,1.1417,1.225
2769381391,NORTH FLORIDA SURGEONS PA,152,FL,false,1.0255,1.1744
2769383785,"CENTRAL OHIO PRIMARY CARE PHYSICIANS, INC.",338,OH,false,1.0617,1.0364
2769387778,COVENANT MEDICAL CENTER INC,189,MI,false,1.116,1.1274
2769388412,"PROHEALTH PARTNERS, A MEDICAL GROUP",140,CA,false,1.2426,1.3306
2769394808,UNIVERSITY OF MARYLAND PHYSICIANS PA,198,MD,false,0.9584,1.0007
2769395896,EINSTEIN PRACTICE PLAN INC,292,PA,false,1.1354,1.125
2769396878,CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CENTER,101,NY,false,0.7683,0.691
2769546530,MARY WASHINGTON HEALTHCARE PHYSICIANS,121,VA,false,1.1613,1.1935
2769563253,CORE PHYSICIANS LLC,122,NH,false,1.1123,1.0804
2769653757,"COMPREHAB, INC",172,NC,false,1.0267,1.1843
2769706431,OPTUMCARE COLORADO MEDICAL GROUP LLC,101,CO,false,1.0927,0.4981
2860301215,THE WEST TEXAS REHABILITATION CENTER,152,TX,false,1.024,1.0383
2860305463,COVENANT MEDICAL GROUP INC,173,TN,false,0.8265,0.7428
2860390408,"THE OREGON CLINIC, PC",205,OR,false,1.0678,1.0182
2860396330,"SUMMIT MEDICAL GROUP, PLLC",197,TN,false,1.1111,1.1017
2860396611,COOPER PHYSICIAN OFFICES PA,167,NJ,false,0.9638,0.6251
2860398088,COOK COUNTY,324,IL,false,0.9815,1.0363
2860398526,"TIDEWATER PHYSICIANS MULTISPECIALTY GROUP, PC",123,VA,false,1.1918,1.6676
2860411188,ST VINCENT'S AMBULATORY CARE INC,109,FL,false,1.0594,0.9334
2860447315,"LUMINIS HEALTH MEDICAL GROUP, LLC",193,MD,false,1.0607,1.1349
2860616877,"KENNEDY MEDICAL GROUP PRACTICE, P.C.",152,NJ,false,1.0548,0.7827
2860809936,NOVANT HEALTH MEDICAL GROUP COASTAL REGION LLC,199,NC,false,1.0161,0.9277
2961300611,MARTIN MEMORIAL MEDICAL CENTER INC,251,FL,false,1.0255,0.7788
2961303532,SUMMA PHYSICIANS LLC,326,OH,false,0.987,0.9505
2961310685,THE CHARLOTTE-MECKLENBURG HOSPITAL AUTHORITY,188,NC,false,0.9821,0.8773
2961315734,"UNIVERSITY PHYSICIANS AND SURGEONS, INC",196,WV,false,0.9832,0.8609
2961316328,REGIONAL WOMENS HEALTH GROUP LLC,189,NJ,false,1.123,0.977
2961483607,COGENT HEALTHCARE OF GEORGIA PC,123,GA,false,1.196,0.4351
2961492327,RIVERSIDE MEDICAL CLINIC INC,116,CA,false,1.2022,0.9812
2961547526,"NORTHEAST ARKANSAS CLINIC CHARITABLE FOUNDATION, INC.",110,AR,false,1.0815,1.1377
3072403476,"OPTUMCARE FLORIDA, LLC",171,FL,false,0.8842,0.4432
3072412592,EMERGENCY COVERAGE LLC,416,NC,false,0.9485,0.4977
3072417534,UNIVERSITY PRIMARY CARE PRACTICES INC,520,OH,false,1.0591,0.9798
3072421254,PHYSICIAN GROUPS LC,273,MO,false,1.0474,0.8404
3072422534,BLESSING HOSPITAL,129,IL,false,1.122,1.0078
3072422716,THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS,515,IL,false,0.9042,1.0509
3072425123,LEHIGH VALLEY PHYSICIAN GROUP,963,PA,false,1.0423,0.9736
3072425297,SPARTANBURG MEDICAL CENTER,460,SC,false,1.1425,0.9197
3072425784,METRO INFECTIOUS DISEASE CONSULTANTS LLC,122,IL,false,0.9254,0.7987
3072426287,MUNSON MEDICAL CENTER,117,MI,false,1.0308,0.9525
3072426741,CHRISTUS TRINITY CLINIC,735,TX,false,0.9833,0.9232
3072507789,AUSTIN REGIONAL CLINIC PA,246,TX,false,0.9633,0.8944
3072790682,FRANCISCAN PHYSICIAN NETWORK,507,IN,false,1.0477,0.9497
3072875889,BEAUMONT MEDICAL GROUP HOSPITAL BASED SERVICES,182,MI,false,0.8071,0.9216
3173424082,HENRY FORD HEALTH ST. JOHN HOSPITAL,144,MI,false,0.9701,1.0042
3173436276,PROVIDENCE FACEY MEDICAL FOUNDATION,239,CA,false,1.1519,0.9539
3173436490,THE VANCOUVER CLINIC INC PS,285,WA,false,0.9318,0.6705
